date,source,SSH (m)
06/1996,total,0.674443
06/1996,barystatic,0.287868
06/1996,steric,0.386575
07/1996,total,0.774643
07/1996,barystatic,0.361777
07/1996,steric,0.412866
07/1996,total,0.674741
07/1996,barystatic,0.288201
07/1996,steric,0.386540
08/1996,total,0.781529
08/1996,barystatic,0.353630
08/1996,steric,0.427899
08/1996,total,0.675038
08/1996,barystatic,0.288533
08/1996,steric,0.386505
09/1996,total,0.746681
09/1996,barystatic,0.305005
09/1996,steric,0.441676
09/1996,total,0.675336
09/1996,barystatic,0.288865
09/1996,steric,0.386471
10/1996,total,0.771524
10/1996,barystatic,0.338307
10/1996,steric,0.433217
10/1996,total,0.675634
10/1996,barystatic,0.289198
10/1996,steric,0.386436
11/1996,total,0.806524
11/1996,barystatic,0.391155
11/1996,steric,0.415369
11/1996,total,0.675931
11/1996,barystatic,0.289530
11/1996,steric,0.386401
12/1996,total,0.703326
12/1996,barystatic,0.322933
12/1996,steric,0.380393
12/1996,total,0.676229
12/1996,barystatic,0.289863
12/1996,steric,0.386366
01/1997,total,0.587705
01/1997,barystatic,0.242163
01/1997,steric,0.345542
01/1997,total,0.676527
01/1997,barystatic,0.290195
01/1997,steric,0.386332
02/1997,total,0.497209
02/1997,barystatic,0.172242
02/1997,steric,0.324967
02/1997,total,0.676824
02/1997,barystatic,0.290527
02/1997,steric,0.386297
03/1997,total,0.567470
03/1997,barystatic,0.229305
03/1997,steric,0.338165
03/1997,total,0.677122
03/1997,barystatic,0.290860
03/1997,steric,0.386262
04/1997,total,0.552427
04/1997,barystatic,0.203814
04/1997,steric,0.348613
04/1997,total,0.677420
04/1997,barystatic,0.291192
04/1997,steric,0.386227
05/1997,total,0.650923
05/1997,barystatic,0.289917
05/1997,steric,0.361006
05/1997,total,0.677717
05/1997,barystatic,0.291525
05/1997,steric,0.386193
06/1997,total,0.764181
06/1997,barystatic,0.384745
06/1997,steric,0.379436
06/1997,total,0.678015
06/1997,barystatic,0.291857
06/1997,steric,0.386158
07/1997,total,0.716138
07/1997,barystatic,0.317590
07/1997,steric,0.398548
07/1997,total,0.678313
07/1997,barystatic,0.292190
07/1997,steric,0.386123
08/1997,total,0.732345
08/1997,barystatic,0.314346
08/1997,steric,0.417999
08/1997,total,0.678610
08/1997,barystatic,0.292522
08/1997,steric,0.386088
09/1997,total,0.711977
09/1997,barystatic,0.277057
09/1997,steric,0.434919
09/1997,total,0.678908
09/1997,barystatic,0.292854
09/1997,steric,0.386054
10/1997,total,0.606334
10/1997,barystatic,0.190560
