Date,Total_Power_Outages,State
05/11/2022 16:00,154,South Dakota
05/11/2022 17:00,231,Iowa
05/11/2022 17:00,2960,Minnesota
05/11/2022 17:00,111,Nebraska
05/11/2022 17:00,0,North Dakota
05/11/2022 17:00,64,South Dakota
05/11/2022 18:00,225,Iowa
05/11/2022 18:00,4369,Minnesota
05/11/2022 18:00,133,Nebraska
05/11/2022 18:00,0,North Dakota
05/11/2022 18:00,333,South Dakota
05/11/2022 19:00,186,Iowa
05/11/2022 19:00,2500,Minnesota
05/11/2022 19:00,110,Nebraska
05/11/2022 19:00,1,North Dakota
05/11/2022 19:00,339,South Dakota
05/11/2022 20:00,8153,Iowa
05/11/2022 20:00,844,Minnesota
05/11/2022 20:00,64,Nebraska
05/11/2022 20:00,1,North Dakota
05/11/2022 20:00,324,South Dakota
05/11/2022 21:00,8101,Iowa
05/11/2022 21:00,1569,Minnesota
05/11/2022 21:00,50,Nebraska
05/11/2022 21:00,15,North Dakota
05/11/2022 21:00,3753,South Dakota
05/11/2022 22:00,5868,Iowa
05/11/2022 22:00,2703,Minnesota
05/11/2022 22:00,12,Nebraska
05/11/2022 22:00,1,North Dakota
05/11/2022 22:00,3098,South Dakota
05/11/2022 23:00,2789,Iowa
05/11/2022 23:00,3676,Minnesota
05/11/2022 23:00,14,Nebraska
05/11/2022 23:00,1,North Dakota
05/11/2022 23:00,966,South Dakota
05/12/2022 0:00,1100,Iowa
05/12/2022 0:00,6083,Minnesota
05/12/2022 0:00,442,Nebraska
05/12/2022 0:00,1,North Dakota
05/12/2022 0:00,193,South Dakota
05/12/2022 1:00,847,Iowa
05/12/2022 1:00,69763,Minnesota
05/12/2022 1:00,62,Nebraska
05/12/2022 1:00,0,North Dakota
05/12/2022 1:00,87,South Dakota
05/12/2022 2:00,978,Iowa
05/12/2022 2:00,87682,Minnesota
05/12/2022 2:00,58,Nebraska
05/12/2022 2:00,0,North Dakota
05/12/2022 2:00,87,South Dakota
05/12/2022 3:00,942,Iowa
05/12/2022 3:00,85721,Minnesota
05/12/2022 3:00,58,Nebraska
05/12/2022 3:00,0,North Dakota
05/12/2022 3:00,26,South Dakota
05/12/2022 4:00,932,Iowa
05/12/2022 4:00,79169,Minnesota
05/12/2022 4:00,12,Nebraska
05/12/2022 4:00,0,North Dakota
05/12/2022 4:00,20,South Dakota
05/12/2022 5:00,1027,Iowa
05/12/2022 5:00,76162,Minnesota
05/12/2022 5:00,8,Nebraska
05/12/2022 5:00,0,North Dakota
05/12/2022 5:00,20,South Dakota
05/12/2022 6:00,1029,Iowa
05/12/2022 6:00,62878,Minnesota
05/12/2022 6:00,9,Nebraska
05/12/2022 6:00,1,North Dakota
05/12/2022 6:00,20,South Dakota
05/12/2022 7:00,851,Iowa
05/12/2022 7:00,55772,Minnesota
05/12/2022 7:00,4,Nebraska
05/12/2022 7:00,0,North Dakota
05/12/2022 7:00,39,South Dakota
05/12/2022 8:00,846,Iowa
05/12/2022 8:00,52243,Minnesota
05/12/2022 8:00,3,Nebraska
05/12/2022 8:00,0,North Dakota
05/12/2022 8:00,62,South Dakota
05/12/2022 9:00,683,Iowa
05/12/2022 9:00,48497,Minnesota
05/12/2022 9:00,3,Nebraska
05/12/2022 9:00,0,North Dakota
05/12/2022 9:00,273,South Dakota
05/12/2022 10:00,661,Iowa
05/12/2022 10:00,44020,Minnesota
05/12/2022 10:00,4,Nebraska
05/12/2022 10:00,0,North Dakota
05/12/2022 10:00,1561,South Dakota
05/12/2022 11:00,857,Iowa
05/12/2022 11:00,43530,Minnesota
05/12/2022 11:00,4,Nebraska
05/12/2022 11:00,3,North Dakota
05/12/2022 11:00,1548,South Dakota
05/12/2022 12:00,857,Iowa
05/12/2022 12:00,41866,Minnesota
05/12/2022 12:00,5,Nebraska
05/12/2022 12:00,5,North Dakota
05/12/2022 12:00,1926,South Dakota
05/12/2022 13:00,346,Iowa
05/12/2022 13:00,36377,Minnesota
05/12/2022 13:00,28,Nebraska
05/12/2022 13:00,3,North Dakota
05/12/2022 13:00,1950,South Dakota
05/12/2022 14:00,1248,Iowa
05/12/2022 14:00,34967,Minnesota
05/12/2022 14:00,1751,Nebraska
05/12/2022 14:00,435,North Dakota
05/12/2022 14:00,1897,South Dakota
05/12/2022 15:00,1156,Iowa
05/12/2022 15:00,33287,Minnesota
05/12/2022 15:00,1753,Nebraska
05/12/2022 15:00,446,North Dakota
05/12/2022 15:00,561,South Dakota
05/12/2022 16:00,149,Iowa
05/12/2022 16:00,31683,Minnesota
05/12/2022 16:00,137,Nebraska
05/12/2022 16:00,446,North Dakota
05/12/2022 16:00,43,South Dakota
05/12/2022 17:00,796,Iowa
05/12/2022 17:00,29500,Minnesota
05/12/2022 17:00,130,Nebraska
05/12/2022 17:00,438,North Dakota
05/12/2022 17:00,85,South Dakota
05/12/2022 18:00,373,Iowa
05/12/2022 18:00,29097,Minnesota
05/12/2022 18:00,132,Nebraska
05/12/2022 18:00,438,North Dakota
05/12/2022 18:00,87,South Dakota
05/12/2022 19:00,91,Iowa
05/12/2022 19:00,27960,Minnesota
05/12/2022 19:00,1099,Nebraska
05/12/2022 19:00,438,North Dakota
05/12/2022 19:00,92,South Dakota
05/12/2022 20:00,1167,Iowa
05/12/2022 20:00,23874,Minnesota
05/12/2022 20:00,4696,Nebraska
05/12/2022 20:00,437,North Dakota
05/12/2022 20:00,98,South Dakota
05/12/2022 21:00,846,Iowa
05/12/2022 21:00,21023,Minnesota
05/12/2022 21:00,6331,Nebraska
05/12/2022 21:00,437,North Dakota
05/12/2022 21:00,5372,South Dakota
05/12/2022 22:00,2338,Iowa
05/12/2022 22:00,18660,Minnesota
05/12/2022 22:00,6874,Nebraska
05/12/2022 22:00,440,North Dakota
05/12/2022 22:00,36351,South Dakota
05/12/2022 23:00,2242,Iowa
05/12/2022 23:00,24056,Minnesota
05/12/2022 23:00,6479,Nebraska
05/12/2022 23:00,1160,North Dakota
05/12/2022 23:00,47421,South Dakota
05/13/2022 0:00,4839,Iowa
05/13/2022 0:00,33782,Minnesota
05/13/2022 0:00,6465,Nebraska
05/13/2022 0:00,1405,North Dakota
05/13/2022 0:00,53058,South Dakota
05/13/2022 1:00,5130,Iowa
05/13/2022 1:00,59021,Minnesota
05/13/2022 1:00,5108,Nebraska
05/13/2022 1:00,1993,North Dakota
05/13/2022 1:00,51329,South Dakota
05/13/2022 2:00,3753,Iowa
05/13/2022 2:00,64822,Minnesota
05/13/2022 2:00,3473,Nebraska
05/13/2022 2:00,1989,North Dakota
05/13/2022 2:00,51946,South Dakota
05/13/2022 3:00,2283,Iowa
05/13/2022 3:00,66764,Minnesota
05/13/2022 3:00,3195,Nebraska
05/13/2022 3:00,1981,North Dakota
05/13/2022 3:00,42834,South Dakota
05/13/2022 4:00,4359,Iowa
05/13/2022 4:00,61444,Minnesota
05/13/2022 4:00,2259,Nebraska
05/13/2022 4:00,1154,North Dakota
05/13/2022 4:00,38693,South Dakota
05/13/2022 5:00,1591,Iowa
05/13/2022 5:00,55809,Minnesota
05/13/2022 5:00,1872,Nebraska
05/13/2022 5:00,461,North Dakota
05/13/2022 5:00,33954,South Dakota
05/13/2022 6:00,1673,Iowa
05/13/2022 6:00,52724,Minnesota
05/13/2022 6:00,1780,Nebraska
05/13/2022 6:00,418,North Dakota
05/13/2022 6:00,32258,South Dakota
05/13/2022 7:00,1464,Iowa
05/13/2022 7:00,44936,Minnesota
05/13/2022 7:00,650,Nebraska
05/13/2022 7:00,416,North Dakota
05/13/2022 7:00,29585,South Dakota
05/13/2022 8:00,1424,Iowa
05/13/2022 8:00,40684,Minnesota
05/13/2022 8:00,662,Nebraska
05/13/2022 8:00,419,North Dakota
05/13/2022 8:00,27117,South Dakota
05/13/2022 9:00,1598,Iowa
05/13/2022 9:00,39460,Minnesota
05/13/2022 9:00,380,Nebraska
05/13/2022 9:00,418,North Dakota
05/13/2022 9:00,26540,South Dakota
05/13/2022 10:00,1557,Iowa
05/13/2022 10:00,38392,Minnesota
05/13/2022 10:00,432,Nebraska
05/13/2022 10:00,415,North Dakota
05/13/2022 10:00,23793,South Dakota
05/13/2022 11:00,1874,Iowa
05/13/2022 11:00,35771,Minnesota
05/13/2022 11:00,466,Nebraska
05/13/2022 11:00,416,North Dakota
05/13/2022 11:00,24041,South Dakota
05/13/2022 12:00,1271,Iowa
05/13/2022 12:00,35605,Minnesota
05/13/2022 12:00,416,Nebraska
05/13/2022 12:00,432,North Dakota
05/13/2022 12:00,26136,South Dakota
05/13/2022 13:00,136,Iowa
05/13/2022 13:00,35640,Minnesota
05/13/2022 13:00,277,Nebraska
05/13/2022 13:00,441,North Dakota
05/13/2022 13:00,25935,South Dakota
05/13/2022 14:00,223,Iowa
05/13/2022 14:00,35102,Minnesota
05/13/2022 14:00,284,Nebraska
05/13/2022 14:00,496,North Dakota
05/13/2022 14:00,25096,South Dakota
05/13/2022 15:00,347,Iowa
05/13/2022 15:00,24186,Minnesota
05/13/2022 15:00,200,Nebraska
05/13/2022 15:00,139,North Dakota
05/13/2022 15:00,24592,South Dakota
05/13/2022 16:00,583,Iowa
05/13/2022 16:00,23324,Minnesota
05/13/2022 16:00,281,Nebraska
05/13/2022 16:00,85,North Dakota
05/13/2022 16:00,23762,South Dakota
05/13/2022 17:00,186,Iowa
05/13/2022 17:00,21404,Minnesota
05/13/2022 17:00,254,Nebraska
05/13/2022 17:00,371,North Dakota
05/13/2022 17:00,22976,South Dakota
05/13/2022 18:00,203,Iowa
05/13/2022 18:00,21038,Minnesota
05/13/2022 18:00,156,Nebraska
05/13/2022 18:00,1027,North Dakota
05/13/2022 18:00,22726,South Dakota
05/13/2022 19:00,465,Iowa
05/13/2022 19:00,19553,Minnesota
05/13/2022 19:00,62,Nebraska
