Date,Total_Power_Outages,State
02/17/2021 19:00,3155685.0,Texas
02/17/2021 20:00,2923877.0,Texas
02/17/2021 21:00,2774442.0,Texas
02/17/2021 22:00,2677127.0,Texas
02/17/2021 23:00,2590546.0,Texas
02/18/2021 00:00,2349330.0,Texas
02/18/2021 01:00,2271213.0,Texas
02/18/2021 02:00,2156551.0,Texas
02/18/2021 03:00,1928117.0,Texas
02/18/2021 04:00,1756637.0,Texas
02/18/2021 05:00,1532505.0,Texas
02/18/2021 06:00,1309911.0,Texas
02/18/2021 07:00,1066319.0,Texas
02/18/2021 08:00,950541.0,Texas
02/18/2021 09:00,918186.0,Texas
02/18/2021 10:00,641585.0,Texas
02/18/2021 11:00,612738.0,Texas
02/18/2021 12:00,589266.0,Texas
02/18/2021 13:00,522977.0,Texas
02/18/2021 14:00,502794.0,Texas
02/18/2021 15:00,485669.0,Texas
02/18/2021 16:00,530022.0,Texas
02/18/2021 17:00,492940.0,Texas
02/18/2021 18:00,465178.0,Texas
02/18/2021 19:00,461263.0,Texas
02/18/2021 20:00,419357.0,Texas
02/18/2021 21:00,385041.0,Texas
02/18/2021 22:00,370631.0,Texas
02/18/2021 23:00,356850.0,Texas
02/19/2021 00:00,0.0,Texas
02/19/2021 01:00,0.0,Texas
02/19/2021 02:00,0.0,Texas
02/19/2021 03:00,0.0,Texas
02/19/2021 04:00,0.0,Texas
02/19/2021 05:00,0.0,Texas
02/19/2021 06:00,0.0,Texas
02/19/2021 07:00,0.0,Texas
02/19/2021 08:00,0.0,Texas
02/19/2021 09:00,0.0,Texas
02/19/2021 10:00,0.0,Texas
02/19/2021 11:00,0.0,Texas
02/19/2021 12:00,0.0,Texas
02/19/2021 13:00,0.0,Texas
02/19/2021 14:00,0.0,Texas
02/19/2021 15:00,0.0,Texas
02/19/2021 16:00,0.0,Texas
02/19/2021 17:00,0.0,Texas
02/19/2021 18:00,0.0,Texas
02/19/2021 19:00,0.0,Texas
02/19/2021 20:00,0.0,Texas
02/19/2021 21:00,0.0,Texas
02/19/2021 22:00,0.0,Texas
