Date,Value,Type
2023-01-01,3.49856377,Rainfall
2023-02-01,1.70793605,Rainfall
2023-03-01,2.30281115,Rainfall
2023-04-01,3.93140841,Rainfall
2023-05-01,2.94988751,Rainfall
2023-06-01,1.31317043,Rainfall
2023-07-01,0.59634304,Rainfall
2023-08-01,0.275629848,Rainfall
2023-09-01,1.04627764,Rainfall
2023-10-01,2.70417333,Rainfall
2023-11-01,3.23014998,Rainfall
2023-12-01,1.8012507,Rainfall
2024-01-01,6.70023775,Rainfall
2024-02-01,2.53589535,Rainfall
2024-03-01,3.66107416,Rainfall
2024-04-01,3.40691924,Rainfall
2024-05-01,3.89294744,Rainfall
2024-06-01,1.76634514,Rainfall
2024-07-01,7.9828105,Rainfall
2024-08-01,1.78180456,Rainfall
2024-09-01,1.81110275,Rainfall
2024-10-01,0.340181649,Rainfall
2024-11-01,1.76033354,Rainfall
2024-12-01,2.83442473,Rainfall
2025-01-01,2.98281765,Rainfall
1998-01-01,3.2601864425531852,Trend
1998-02-01,3.2594478124055866,Trend
1998-03-01,3.258780662594852,Trend
1998-04-01,3.2580420324472534,Trend
1998-05-01,3.25732722907861,Trend
1998-06-01,3.2565885989310113,Trend
1998-07-01,3.2558737955623673,Trend
1998-08-01,3.2551351654147687,Trend
1998-09-01,3.25439653526717,Trend
1998-10-01,3.253681731898526,Trend
1998-11-01,3.2529431017509274,Trend
1998-12-01,3.2522282983822834,Trend
1999-01-01,3.2514896682346848,Trend
1999-02-01,3.250751038087086,Trend
1999-03-01,3.2500838882763516,Trend
1999-04-01,3.249345258128753,Trend
1999-05-01,3.248630454760109,Trend
1999-06-01,3.2478918246125104,Trend
1999-07-01,3.2471770212438664,Trend
1999-08-01,3.2464383910962678,Trend
1999-09-01,3.245699760948669,Trend
1999-10-01,3.2449849575800256,Trend
1999-11-01,3.244246327432427,Trend
1999-12-01,3.243531524063783,Trend
2000-01-01,3.2427928939161843,Trend
2000-02-01,3.2420542637685856,Trend
2000-03-01,3.2413632871788964,Trend
2000-04-01,3.2406246570312978,Trend
2000-05-01,3.239909853662654,Trend
2000-06-01,3.239171223515055,Trend
2000-07-01,3.238456420146411,Trend
2000-08-01,3.2377177899988125,Trend
2000-09-01,3.236979159851214,Trend
2000-10-01,3.23626435648257,Trend
2000-11-01,3.2355257263349713,Trend
2000-12-01,3.2348109229663273,Trend
2001-01-01,3.2340722928187287,Trend
2001-02-01,3.23333366267113,Trend
2001-03-01,3.232666512860396,Trend
2001-04-01,3.2319278827127973,Trend
2001-05-01,3.2312130793441534,Trend
2001-06-01,3.2304744491965547,Trend
2001-07-01,3.2297596458279108,Trend
2001-08-01,3.229021015680312,Trend
2001-09-01,3.2282823855327134,Trend
2001-10-01,3.2275675821640695,Trend
2001-11-01,3.226828952016471,Trend
2001-12-01,3.226114148647827,Trend
2002-01-01,3.225375518500228,Trend
2002-02-01,3.2246368883526295,Trend
2002-03-01,3.2239697385418955,Trend
2002-04-01,3.223231108394297,Trend
2002-05-01,3.222516305025653,Trend
2002-06-01,3.221777674878054,Trend
2002-07-01,3.2210628715094103,Trend
2002-08-01,3.2203242413618116,Trend
2002-09-01,3.219585611214213,Trend
2002-10-01,3.218870807845569,Trend
2002-11-01,3.2181321776979703,Trend
2002-12-01,3.2174173743293264,Trend
2003-01-01,3.2166787441817277,Trend
2003-02-01,3.215940114034129,Trend
2003-03-01,3.215272964223395,Trend
2003-04-01,3.2145343340757964,Trend
2003-05-01,3.2138195307071524,Trend
2003-06-01,3.2130809005595538,Trend
2003-07-01,3.21236609719091,Trend
2003-08-01,3.211627467043311,Trend
2003-09-01,3.2108888368957125,Trend
2003-10-01,3.2101740335270685,Trend
2003-11-01,3.20943540337947,Trend
2003-12-01,3.208720600010826,Trend
2004-01-01,3.2079819698632273,Trend
2004-02-01,3.2072433397156286,Trend
2004-03-01,3.2065523631259394,Trend
2004-04-01,3.2058137329783407,Trend
2004-05-01,3.205098929609697,Trend
2004-06-01,3.204360299462098,Trend
2004-07-01,3.2036454960934546,Trend
2004-08-01,3.202906865945856,Trend
2004-09-01,3.2021682357982573,Trend
2004-10-01,3.2014534324296133,Trend
2004-11-01,3.2007148022820147,Trend
2004-12-01,3.1999999989133707,Trend
2005-01-01,3.199261368765772,Trend
2005-02-01,3.1985227386181734,Trend
2005-03-01,3.197855588807439,Trend
2005-04-01,3.1971169586598402,Trend
2005-05-01,3.1964021552911963,Trend
2005-06-01,3.1956635251435976,Trend
2005-07-01,3.1949487217749537,Trend
2005-08-01,3.194210091627355,Trend
2005-09-01,3.1934714614797564,Trend
2005-10-01,3.192756658111113,Trend
2005-11-01,3.192018027963514,Trend
2005-12-01,3.1913032245948703,Trend
2006-01-01,3.1905645944472716,Trend
2006-02-01,3.189825964299673,Trend
2006-03-01,3.1891588144889385,Trend
2006-04-01,3.18842018434134,Trend
2006-05-01,3.187705380972696,Trend
2006-06-01,3.186966750825097,Trend
2006-07-01,3.1862519474564532,Trend
2006-08-01,3.1855133173088546,Trend
2006-09-01,3.184774687161256,Trend
2006-10-01,3.184059883792612,Trend
2006-11-01,3.1833212536450133,Trend
2006-12-01,3.18260645027637,Trend
2007-01-01,3.181867820128771,Trend
2007-02-01,3.1811291899811724,Trend
2007-03-01,3.180462040170438,Trend
2007-04-01,3.1797234100228393,Trend
