Date,WS,source
2017-06-01,6.633831668,Trendline
2017-07-01,6.631404937,Trendline
2017-08-01,6.628897316,Trendline
2017-09-01,6.626389695,Trendline
2017-10-01,6.623962964,Trendline
2017-11-01,6.621455343,Trendline
2017-12-01,6.619028612,Trendline
2018-01-01,6.616520991,Trendline
2018-02-01,6.61401337,Trendline
2018-03-01,6.611748421,Trendline
2018-04-01,6.6092408,Trendline
2018-05-01,6.606814069,Trendline
2018-06-01,6.604306448,Trendline
2018-07-01,6.601879717,Trendline
2018-08-01,6.599372096,Trendline
2018-09-01,6.596864475,Trendline
2018-10-01,6.594437744,Trendline
2018-11-01,6.591930123,Trendline
2018-12-01,6.589503392,Trendline
2019-01-01,6.586995771,Trendline
2019-02-01,6.58448815,Trendline
2019-03-01,6.582223201,Trendline
2019-04-01,6.57971558,Trendline
2019-05-01,6.577288849,Trendline
2019-06-01,6.574781228,Trendline
2019-07-01,6.572354498,Trendline
2019-08-01,6.569846876,Trendline
2019-09-01,6.567339255,Trendline
2019-10-01,6.564912524,Trendline
2019-11-01,6.562404903,Trendline
2019-12-01,6.559978172,Trendline
2020-01-01,6.557470551,Trendline
2020-02-01,6.55496293,Trendline
2020-03-01,6.55261709,Trendline
2020-04-01,6.550109469,Trendline
2020-05-01,6.547682738,Trendline
2020-06-01,6.545175117,Trendline
2020-07-01,6.542748387,Trendline
2020-08-01,6.540240765,Trendline
2020-09-01,6.537733144,Trendline
2020-10-01,6.535306413,Trendline
2020-11-01,6.532798792,Trendline
2020-12-01,6.530372062,Trendline
2021-01-01,6.52786444,Trendline
2021-02-01,6.525356819,Trendline
2021-03-01,6.52309187,Trendline
2021-04-01,6.520584249,Trendline
2021-05-01,6.518157518,Trendline
2021-06-01,6.515649897,Trendline
2021-07-01,6.513223167,Trendline
2021-08-01,6.510715545,Trendline
2021-09-01,6.508207924,Trendline
2021-10-01,6.505781193,Trendline
2021-11-01,6.503273572,Trendline
2021-12-01,6.500846842,Trendline
2022-01-01,6.49833922,Trendline
2022-02-01,6.495831599,Trendline
2022-03-01,6.49356665,Trendline
2022-04-01,6.491059029,Trendline
2022-05-01,6.488632299,Trendline
2022-06-01,6.486124677,Trendline
2022-07-01,6.483697947,Trendline
2022-08-01,6.481190325,Trendline
2022-09-01,6.478682704,Trendline
2022-10-01,6.476255973,Trendline
2022-11-01,6.473748352,Trendline
2022-12-01,6.471321622,Trendline
