Date,Value,Type
2021-08-01,3.16718352226931,Trend
2021-09-01,3.167800912937219,Trend
2021-10-01,3.1683983877771302,Trend
2021-11-01,3.169015778445039,Trend
2021-12-01,3.169613253284951,Trend
2022-01-01,3.170230643952859,Trend
2022-02-01,3.170848034620768,Trend
2022-03-01,3.1714056778046853,Trend
2022-04-01,3.172023068472594,Trend
2022-05-01,3.172620543312506,Trend
2022-06-01,3.173237933980414,Trend
2022-07-01,3.173835408820326,Trend
2022-08-01,3.1744527994882348,Trend
2022-09-01,3.1750701901561436,Trend
2022-10-01,3.175667664996055,Trend
2022-11-01,3.1762850556639637,Trend
2022-12-01,3.176882530503875,Trend
2023-01-01,3.177499921171784,Trend
2023-02-01,3.1781173118396926,Trend
2023-03-01,3.17867495502361,Trend
2023-04-01,3.1792923456915188,Trend
2023-05-01,3.1798898205314305,Trend
2023-06-01,3.180507211199339,Trend
2023-07-01,3.1811046860392507,Trend
2023-08-01,3.1817220767071595,Trend
2023-09-01,3.182339467375068,Trend
2023-10-01,3.1829369422149796,Trend
2023-11-01,3.1835543328828884,Trend
2023-12-01,3.1841518077227997,Trend
2024-01-01,3.1847691983907085,Trend
2024-02-01,3.1853865890586173,Trend
2024-03-01,3.1859641480705316,Trend
2024-04-01,3.1865815387384404,Trend
2024-05-01,3.187179013578352,Trend
2024-06-01,3.187796404246261,Trend
2024-07-01,3.1883938790861723,Trend
2024-08-01,3.189011269754081,Trend
2024-09-01,3.18962866042199,Trend
2024-10-01,3.1902261352619012,Trend
2024-11-01,3.19084352592981,Trend
2024-12-01,3.1914410007697214,Trend
2025-01-01,3.19205839143763,Trend
