datetime,stream_height,source
9/26/24 5:15,7.39,Nolichucky River (Embreeville)
9/26/24 5:30,7.74,Nolichucky River (Embreeville)
9/26/24 5:45,8.17,Nolichucky River (Embreeville)
9/26/24 6:00,8.5,Nolichucky River (Embreeville)
9/26/24 6:15,8.75,Nolichucky River (Embreeville)
9/26/24 6:30,8.86,Nolichucky River (Embreeville)
9/26/24 6:45,9.11,Nolichucky River (Embreeville)
9/26/24 7:00,9.15,Nolichucky River (Embreeville)
9/26/24 7:15,9.22,Nolichucky River (Embreeville)
9/26/24 7:30,9.18,Nolichucky River (Embreeville)
9/26/24 7:45,9.11,Nolichucky River (Embreeville)
9/26/24 8:00,9.13,Nolichucky River (Embreeville)
9/26/24 8:15,9.06,Nolichucky River (Embreeville)
9/26/24 8:30,9.02,Nolichucky River (Embreeville)
9/26/24 8:45,8.93,Nolichucky River (Embreeville)
9/26/24 9:00,8.82,Nolichucky River (Embreeville)
9/26/24 9:15,8.86,Nolichucky River (Embreeville)
9/26/24 9:30,8.89,Nolichucky River (Embreeville)
9/26/24 9:45,8.89,Nolichucky River (Embreeville)
9/26/24 10:00,8.95,Nolichucky River (Embreeville)
9/26/24 10:15,8.84,Nolichucky River (Embreeville)
9/26/24 10:30,8.91,Nolichucky River (Embreeville)
9/26/24 10:45,8.97,Nolichucky River (Embreeville)
9/26/24 11:00,8.93,Nolichucky River (Embreeville)
9/26/24 11:15,8.97,Nolichucky River (Embreeville)
9/26/24 11:30,9,Nolichucky River (Embreeville)
9/26/24 11:45,8.97,Nolichucky River (Embreeville)
9/26/24 12:00,9.05,Nolichucky River (Embreeville)
9/26/24 12:15,9.05,Nolichucky River (Embreeville)
9/26/24 12:30,9.07,Nolichucky River (Embreeville)
9/26/24 12:45,9.15,Nolichucky River (Embreeville)
9/26/24 13:00,9.05,Nolichucky River (Embreeville)
9/26/24 13:15,9.21,Nolichucky River (Embreeville)
9/26/24 13:30,9.15,Nolichucky River (Embreeville)
9/26/24 13:45,9.16,Nolichucky River (Embreeville)
9/26/24 14:00,9.19,Nolichucky River (Embreeville)
9/26/24 14:15,9.16,Nolichucky River (Embreeville)
9/26/24 14:30,9.23,Nolichucky River (Embreeville)
9/26/24 14:45,9.25,Nolichucky River (Embreeville)
9/26/24 15:00,9.13,Nolichucky River (Embreeville)
9/26/24 15:15,9.19,Nolichucky River (Embreeville)
9/26/24 15:30,9.16,Nolichucky River (Embreeville)
9/26/24 15:45,9.05,Nolichucky River (Embreeville)
9/26/24 16:00,9.14,Nolichucky River (Embreeville)
9/26/24 16:15,9.11,Nolichucky River (Embreeville)
9/26/24 16:30,8.96,Nolichucky River (Embreeville)
9/26/24 16:45,9.04,Nolichucky River (Embreeville)
9/26/24 17:00,8.86,Nolichucky River (Embreeville)
9/26/24 17:15,8.97,Nolichucky River (Embreeville)
9/26/24 17:30,8.71,Nolichucky River (Embreeville)
9/26/24 17:45,8.89,Nolichucky River (Embreeville)
9/26/24 18:00,8.79,Nolichucky River (Embreeville)
9/26/24 18:15,8.74,Nolichucky River (Embreeville)
9/26/24 18:30,8.69,Nolichucky River (Embreeville)
9/26/24 18:45,8.51,Nolichucky River (Embreeville)
9/26/24 19:00,8.53,Nolichucky River (Embreeville)
9/26/24 19:15,8.42,Nolichucky River (Embreeville)
9/26/24 19:30,8.39,Nolichucky River (Embreeville)
9/26/24 19:45,8.25,Nolichucky River (Embreeville)
9/26/24 20:00,8.2,Nolichucky River (Embreeville)
9/26/24 20:15,8.21,Nolichucky River (Embreeville)
9/26/24 20:30,8,Nolichucky River (Embreeville)
9/26/24 20:45,7.97,Nolichucky River (Embreeville)
9/26/24 21:00,7.89,Nolichucky River (Embreeville)
9/26/24 21:15,7.87,Nolichucky River (Embreeville)
9/26/24 21:30,7.78,Nolichucky River (Embreeville)
9/26/24 21:45,7.75,Nolichucky River (Embreeville)
9/26/24 22:00,7.67,Nolichucky River (Embreeville)
9/26/24 22:15,7.67,Nolichucky River (Embreeville)
9/26/24 22:30,7.61,Nolichucky River (Embreeville)
9/26/24 22:45,7.51,Nolichucky River (Embreeville)
9/26/24 23:00,7.56,Nolichucky River (Embreeville)
9/26/24 23:15,7.54,Nolichucky River (Embreeville)
9/26/24 23:30,7.44,Nolichucky River (Embreeville)
9/26/24 23:45,7.45,Nolichucky River (Embreeville)
9/27/24 0:00,7.38,Nolichucky River (Embreeville)
9/27/24 0:15,7.46,Nolichucky River (Embreeville)
9/27/24 0:30,7.6,Nolichucky River (Embreeville)
9/27/24 0:45,7.58,Nolichucky River (Embreeville)
9/27/24 1:00,7.71,Nolichucky River (Embreeville)
9/27/24 1:15,7.83,Nolichucky River (Embreeville)
9/27/24 1:30,7.98,Nolichucky River (Embreeville)
9/27/24 1:45,7.99,Nolichucky River (Embreeville)
9/27/24 2:00,8.08,Nolichucky River (Embreeville)
9/27/24 2:15,8.2,Nolichucky River (Embreeville)
9/27/24 2:30,8.2,Nolichucky River (Embreeville)
9/27/24 2:45,8.51,Nolichucky River (Embreeville)
9/27/24 3:00,8.56,Nolichucky River (Embreeville)
9/27/24 3:15,8.63,Nolichucky River (Embreeville)
9/27/24 3:30,8.76,Nolichucky River (Embreeville)
9/27/24 3:45,8.71,Nolichucky River (Embreeville)
9/27/24 4:00,8.87,Nolichucky River (Embreeville)
9/27/24 4:15,9.1,Nolichucky River (Embreeville)
9/27/24 4:30,9.07,Nolichucky River (Embreeville)
9/27/24 4:45,8.95,Nolichucky River (Embreeville)
9/27/24 5:00,9.18,Nolichucky River (Embreeville)
9/27/24 5:15,9.43,Nolichucky River (Embreeville)
9/27/24 5:30,9.44,Nolichucky River (Embreeville)
9/27/24 5:45,9.37,Nolichucky River (Embreeville)
9/27/24 6:00,9.72,Nolichucky River (Embreeville)
9/27/24 6:15,9.71,Nolichucky River (Embreeville)
9/27/24 6:30,10.01,Nolichucky River (Embreeville)
9/27/24 6:45,10.15,Nolichucky River (Embreeville)
9/27/24 7:00,10.4,Nolichucky River (Embreeville)
9/27/24 7:15,10.64,Nolichucky River (Embreeville)
9/27/24 7:30,10.85,Nolichucky River (Embreeville)
9/27/24 7:45,11.15,Nolichucky River (Embreeville)
9/27/24 8:00,11.58,Nolichucky River (Embreeville)
9/27/24 8:15,12.16,Nolichucky River (Embreeville)
9/27/24 8:30,12.69,Nolichucky River (Embreeville)
9/27/24 8:45,12.99,Nolichucky River (Embreeville)
9/27/24 9:00,13.38,Nolichucky River (Embreeville)
9/27/24 9:15,14.06,Nolichucky River (Embreeville)
9/27/24 9:30,14.67,Nolichucky River (Embreeville)
9/27/24 9:45,15.08,Nolichucky River (Embreeville)
9/27/24 10:00,15.74,Nolichucky River (Embreeville)
9/27/24 10:15,16.35,Nolichucky River (Embreeville)
9/27/24 10:30,17.01,Nolichucky River (Embreeville)
9/27/24 10:45,17.58,Nolichucky River (Embreeville)
9/27/24 11:00,18.45,Nolichucky River (Embreeville)
9/27/24 11:15,19.03,Nolichucky River (Embreeville)
9/27/24 11:30,19.56,Nolichucky River (Embreeville)
9/27/24 19:00,33.88,Nolichucky River (Embreeville)
10/3/24 13:15,3.23,Nolichucky River (Embreeville)
10/3/24 13:30,3.22,Nolichucky River (Embreeville)
10/3/24 13:45,3.22,Nolichucky River (Embreeville)
10/3/24 14:00,3.23,Nolichucky River (Embreeville)
10/3/24 14:15,3.21,Nolichucky River (Embreeville)
10/3/24 14:30,3.23,Nolichucky River (Embreeville)
10/3/24 14:45,3.22,Nolichucky River (Embreeville)
10/3/24 15:00,3.21,Nolichucky River (Embreeville)
10/3/24 15:15,3.22,Nolichucky River (Embreeville)
10/3/24 15:30,3.2,Nolichucky River (Embreeville)
10/3/24 15:45,3.19,Nolichucky River (Embreeville)
10/3/24 16:00,3.22,Nolichucky River (Embreeville)
10/3/24 16:15,3.19,Nolichucky River (Embreeville)
10/3/24 16:30,3.18,Nolichucky River (Embreeville)
10/3/24 16:45,3.18,Nolichucky River (Embreeville)
10/3/24 17:00,3.18,Nolichucky River (Embreeville)
10/3/24 17:15,3.18,Nolichucky River (Embreeville)
10/3/24 17:30,3.17,Nolichucky River (Embreeville)
10/3/24 17:45,3.17,Nolichucky River (Embreeville)
10/3/24 18:00,3.15,Nolichucky River (Embreeville)
10/3/24 18:15,3.18,Nolichucky River (Embreeville)
10/3/24 18:30,3.16,Nolichucky River (Embreeville)
10/3/24 18:45,3.17,Nolichucky River (Embreeville)
10/3/24 19:00,3.17,Nolichucky River (Embreeville)
10/3/24 19:15,3.15,Nolichucky River (Embreeville)
10/3/24 19:30,3.17,Nolichucky River (Embreeville)
10/3/24 19:45,3.16,Nolichucky River (Embreeville)
10/3/24 20:00,3.13,Nolichucky River (Embreeville)
10/3/24 20:15,3.16,Nolichucky River (Embreeville)
10/3/24 20:30,3.15,Nolichucky River (Embreeville)
10/3/24 20:45,3.16,Nolichucky River (Embreeville)
10/3/24 21:00,3.14,Nolichucky River (Embreeville)
10/3/24 21:15,3.16,Nolichucky River (Embreeville)
10/3/24 21:30,3.14,Nolichucky River (Embreeville)
10/3/24 21:45,3.14,Nolichucky River (Embreeville)
10/3/24 22:00,3.14,Nolichucky River (Embreeville)
10/3/24 22:15,3.12,Nolichucky River (Embreeville)
10/3/24 22:30,3.14,Nolichucky River (Embreeville)
10/3/24 22:45,3.13,Nolichucky River (Embreeville)
10/3/24 23:00,3.15,Nolichucky River (Embreeville)
10/3/24 23:15,3.13,Nolichucky River (Embreeville)
10/3/24 23:30,3.12,Nolichucky River (Embreeville)
10/3/24 23:45,3.12,Nolichucky River (Embreeville)
10/4/24 0:00,3.11,Nolichucky River (Embreeville)
10/4/24 0:15,3.09,Nolichucky River (Embreeville)
10/4/24 0:30,3.11,Nolichucky River (Embreeville)
10/4/24 0:45,3.1,Nolichucky River (Embreeville)
10/4/24 1:00,3.09,Nolichucky River (Embreeville)
10/4/24 1:15,3.1,Nolichucky River (Embreeville)
10/4/24 1:30,3.09,Nolichucky River (Embreeville)
10/4/24 1:45,3.09,Nolichucky River (Embreeville)
10/4/24 2:00,3.09,Nolichucky River (Embreeville)
10/4/24 2:15,3.11,Nolichucky River (Embreeville)
