datetime,stage,source
07/13,49.24,Mississippi River at Vicksburg
07/14,49.05,Mississippi River at Vicksburg
07/15,49.05,Mississippi River at Vicksburg
07/16,48.85,Mississippi River at Vicksburg
07/17,48.47,Mississippi River at Vicksburg
07/18,48.17,Mississippi River at Vicksburg
07/19,47.71,Mississippi River at Vicksburg
07/20,47.19,Mississippi River at Vicksburg
07/21,46.81,Mississippi River at Vicksburg
07/22,46.27,Mississippi River at Vicksburg
07/23,45.95,Mississippi River at Vicksburg
07/24,45.39,Mississippi River at Vicksburg
07/25,44.95,Mississippi River at Vicksburg
07/26,44.47,Mississippi River at Vicksburg
07/27,43.85,Mississippi River at Vicksburg
07/28,43.37,Mississippi River at Vicksburg
07/29,42.62,Mississippi River at Vicksburg
07/30,41.95,Mississippi River at Vicksburg
07/31,41.55,Mississippi River at Vicksburg
08/01,41.11,Mississippi River at Vicksburg
08/02,40.66,Mississippi River at Vicksburg
08/03,40.06,Mississippi River at Vicksburg
08/04,39.26,Mississippi River at Vicksburg
08/05,M,Mississippi River at Vicksburg
08/06,37.53,Mississippi River at Vicksburg
08/07,36.54,Mississippi River at Vicksburg
08/08,35.69,Mississippi River at Vicksburg
08/09,34.82,Mississippi River at Vicksburg
08/10,33.92,Mississippi River at Vicksburg
08/11,33.24,Mississippi River at Vicksburg
08/12,32.68,Mississippi River at Vicksburg
08/13,32.01,Mississippi River at Vicksburg
08/14,31.23,Mississippi River at Vicksburg
08/15,30.2,Mississippi River at Vicksburg
08/16,29.05,Mississippi River at Vicksburg
08/17,28.14,Mississippi River at Vicksburg
08/18,27.24,Mississippi River at Vicksburg
08/19,26.62,Mississippi River at Vicksburg
08/20,26.22,Mississippi River at Vicksburg
08/21,25.92,Mississippi River at Vicksburg
08/22,25.39,Mississippi River at Vicksburg
08/23,24.99,Mississippi River at Vicksburg
08/24,24.7,Mississippi River at Vicksburg
08/25,24.3,Mississippi River at Vicksburg
08/26,24.27,Mississippi River at Vicksburg
08/27,24.89,Mississippi River at Vicksburg
08/28,25.83,Mississippi River at Vicksburg
08/29,26.05,Mississippi River at Vicksburg
08/30,25.85,Mississippi River at Vicksburg
08/31,25.78,Mississippi River at Vicksburg
09/01,26.03,Mississippi River at Vicksburg
09/02,26.28,Mississippi River at Vicksburg
09/03,26.27,Mississippi River at Vicksburg
09/04,26.11,Mississippi River at Vicksburg
09/05,25.79,Mississippi River at Vicksburg
09/06,25.49,Mississippi River at Vicksburg
09/07,25.03,Mississippi River at Vicksburg
09/08,24.78,Mississippi River at Vicksburg
09/09,24.66,Mississippi River at Vicksburg
09/10,24.05,Mississippi River at Vicksburg
09/11,23.32,Mississippi River at Vicksburg
09/12,22.64,Mississippi River at Vicksburg
09/13,22.02,Mississippi River at Vicksburg
